Order_ID,Order_Date,Customer_Name,Age,Gender,County,Branch,Category,Product,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Method,Salesperson,Customer_Type
ORD00001,2025-11-24,Faith Mwangi,65,Female,Nairobi,Westlands,Laptop,HP EliteBook,1,98000,0,98000.0,70373.65,27626.35,Cash,Kevin,New
ORD00002,2025-04-22,Grace Omondi,56,Male,Nakuru,Nakuru,Laptop,Lenovo ThinkPad,2,115000,15,195500.0,140340.29,55159.71,Cash,Mercy,Returning
ORD00003,2025-06-24,Peter Kiptoo,31,Female,Nairobi,Nairobi CBD,Smartphone,Tecno Camon 40,1,28000,10,25200.0,19391.37,5808.63,Visa,Kevin,Returning
ORD00004,2025-10-02,Faith Kamau,23,Female,Uasin Gishu,Eldoret,TV,Hisense 43 inch,2,43000,0,86000.0,52388.18,33611.82,M-Pesa,Alice,New
ORD00005,2025-04-30,Faith Kamau,35,Female,Kiambu,Thika,TV,Samsung 55 inch,3,82000,10,221400.0,142116.97,79283.03,Visa,Grace,New
ORD00006,2025-10-01,Grace Kiptoo,47,Female,Mombasa,Mombasa,Laptop,Dell Inspiron,1,87000,5,82650.0,63174.4,19475.6,Visa,John,Returning
ORD00007,2025-02-03,Mercy Kariuki,63,Female,Nairobi,Westlands,Accessories,Power Bank,4,4200,5,15960.0,10421.5,5538.5,M-Pesa,Alice,Returning
ORD00008,2025-10-26,Michael Mutiso,32,Male,Nakuru,Nakuru,Accessories,AirPods Pro,1,36000,0,36000.0,22700.46,13299.54,M-Pesa,John,New
ORD00009,2025-07-17,Michael Kariuki,47,Female,Nakuru,Nakuru,Smartphone,Samsung Galaxy S25,3,145000,10,391500.0,243634.54,147865.46,Mastercard,Mercy,Returning
ORD00010,2025-01-02,Peter Omondi,29,Male,Uasin Gishu,Eldoret,TV,Hisense 43 inch,2,43000,5,81700.0,55129.75,26570.25,M-Pesa,Kevin,Returning
ORD00011,2025-09-08,James Otieno,41,Female,Nairobi,Westlands,Smartphone,iPhone 16,1,185000,0,185000.0,138080.58,46919.42,Cash,Mercy,New
ORD00012,2025-12-04,Ann Omondi,28,Female,Nakuru,Nakuru,Accessories,Wireless Mouse,2,2800,10,5040.0,3426.18,1613.82,Visa,Faith,Returning
ORD00013,2025-03-03,Grace Kimani,22,Female,Nairobi,Nairobi CBD,Laptop,HP EliteBook,1,98000,0,98000.0,72673.68,25326.32,Cash,Brian,New
ORD00014,2025-01-17,David Otieno,50,Male,Mombasa,Mombasa,Accessories,Wireless Mouse,2,2800,15,4760.0,3087.33,1672.67,Mastercard,John,New
ORD00015,2025-02-18,Faith Njoroge,45,Female,Kisumu,Kisumu,Accessories,Power Bank,1,4200,0,4200.0,2570.91,1629.09,Visa,Grace,New
ORD00016,2025-04-09,Mercy Omondi,46,Male,Kisumu,Kisumu,Laptop,Dell Inspiron,4,87000,5,330600.0,256181.01,74418.99,Cash,Faith,New
ORD00017,2025-01-26,Daniel Mwangi,23,Male,Nairobi,Westlands,Accessories,Power Bank,4,4200,5,15960.0,12335.96,3624.04,Cash,Mercy,Returning
ORD00018,2025-01-02,Michael Maina,47,Female,Kisumu,Kisumu,Accessories,Wireless Mouse,2,2800,10,5040.0,3243.44,1796.56,Cash,Kevin,Returning
ORD00019,2025-01-30,Mary Kariuki,48,Male,Nairobi,Nairobi CBD,Smartphone,iPhone 16,1,185000,0,185000.0,135982.86,49017.14,M-Pesa,John,New
ORD00020,2025-10-19,Grace Kariuki,56,Male,Nakuru,Nakuru,Smartphone,Tecno Camon 40,3,28000,10,75600.0,48448.4,27151.6,Visa,Brian,Returning
ORD00021,2025-07-22,Kevin Njoroge,59,Female,Kisumu,Kisumu,TV,Samsung 55 inch,1,82000,15,69700.0,50478.96,19221.04,Cash,Grace,New
ORD00022,2025-09-17,Peter Kiptoo,40,Male,Nairobi,Westlands,TV,LG OLED 65 inch,2,195000,15,331500.0,254177.29,77322.71,Visa,Kevin,Returning
ORD00023,2025-12-06,Faith Kiptoo,34,Male,Nairobi,Nairobi CBD,Laptop,Dell Inspiron,3,87000,5,247950.0,184356.39,63593.61,M-Pesa,Alice,Returning
ORD00024,2025-05-09,Mary Otieno,58,Female,Uasin Gishu,Eldoret,TV,Samsung 55 inch,1,82000,10,73800.0,55661.72,18138.28,Visa,Mercy,Returning
ORD00025,2025-10-10,Joseph Omondi,18,Male,Nairobi,Nairobi CBD,Laptop,MacBook Air M4,3,210000,5,598500.0,410545.47,187954.53,Cash,Alice,Returning
ORD00026,2025-01-21,Joy Kimani,61,Male,Kiambu,Thika,Smartphone,Redmi Note 14,4,38000,5,144400.0,113376.06,31023.94,M-Pesa,Mercy,New
ORD00027,2025-07-31,James Kiptoo,65,Female,Uasin Gishu,Eldoret,Accessories,Wireless Mouse,3,2800,5,7980.0,6044.65,1935.35,Cash,John,New
ORD00028,2025-08-29,Grace Kimani,47,Female,Mombasa,Mombasa,Laptop,HP EliteBook,1,98000,5,93100.0,63279.44,29820.56,Visa,Grace,Returning
ORD00029,2025-06-29,Esther Kamau,61,Female,Nairobi,Nairobi CBD,Smartphone,Redmi Note 14,2,38000,10,68400.0,41563.36,26836.64,Mastercard,David,Returning
ORD00030,2025-08-12,Rose Omondi,25,Female,Nakuru,Nakuru,Laptop,Dell Inspiron,1,87000,15,73950.0,44395.01,29554.99,M-Pesa,David,Returning
ORD00031,2025-02-05,David Kariuki,38,Male,Kiambu,Thika,TV,Hisense 43 inch,3,43000,15,109650.0,72943.19,36706.81,Visa,Mercy,New
ORD00032,2025-08-04,Michael Njoroge,65,Male,Nakuru,Nakuru,TV,LG OLED 65 inch,1,195000,10,175500.0,115370.67,60129.33,Mastercard,David,Returning
ORD00033,2025-08-15,Samuel Njoroge,31,Female,Uasin Gishu,Eldoret,Laptop,MacBook Air M4,3,210000,10,567000.0,350790.11,216209.89,M-Pesa,Alice,New
